WELL,DEPTH,FACIES,FORMATION,GR,HC,ILD,NPHI,PERM,PHIE,RHOB,SW,VSH
15/9-F-14,3110.0,F-TIDAL CHANNEL,Hugin Fm,17.8653,0.0,2.1028,0.1437,0.873744,0.123573,2.5248,1.0,0.0314252
15/9-F-14,3112.5,F-TIDAL CHANNEL,Hugin Fm,17.3575,0.0,2.0643,0.1433,0.836085,0.1226,2.5304,1.0,0.0272967
15/9-F-14,3115.0,F-TIDAL CHANNEL,Hugin Fm,15.9437,0.0,2.0481,0.142,0.97634,0.127563,2.5149,1.0,0.0158024
15/9-F-14,3117.5,F-TIDAL CHANNEL,Hugin Fm,15.3559,0.0,2.0315,0.144,1.127,0.131981,2.5047,1.0,0.0110236
15/9-F-14,3120.0,F-TIDAL CHANNEL,Hugin Fm,14.0784,0.0,1.9409,0.152,1.41595,0.139494,2.4989,1.0,6.37396E-4
15/9-F-14,3122.5,F-LOWER SHOREFACE,Hugin Fm,14.4287,0.0,1.8917,0.1494,1.29175,0.136503,2.5033,1.0,0.00348537
15/9-F-14,3125.0,F-LOWER SHOREFACE,Hugin Fm,14.6253,0.0,1.8621,0.1452,1.11322,0.131971,2.5111,1.0,0.00508374
15/9-F-14,3127.5,F-TIDAL BAR,Hugin Fm,15.7544,0.0,1.944,0.1447,1.08967,0.130805,2.5089,1.0,0.0142634
15/9-F-14,3130.0,F-TIDAL BAR,Hugin Fm,15.3272,0.0,1.9973,0.1506,1.18846,0.133561,2.513,1.0,0.0107902
15/9-F-14,3132.5,F-MOUTHBAR,Hugin Fm,15.0968,0.0,1.9798,0.1418,1.03435,0.129611,2.5106,1.0,0.00891707
15/9-F-14,3135.0,F-MOUTHBAR,Hugin Fm,14.7822,0.0,2.0607,0.1442,1.0756,0.130892,2.5124,1.0,0.00635935
15/9-F-14,3137.5,F-MOUTHBAR,Hugin Fm,15.2496,0.0,2.0363,0.1443,1.05924,0.130225,2.5129,1.0,0.0101594
15/9-F-14,3140.0,F-TIDAL BAR,Hugin Fm,15.5664,0.0,1.9926,0.1465,1.03829,0.129498,2.519,1.0,0.012735
15/9-F-14,3142.5,F-TIDAL BAR,Hugin Fm,16.1123,0.0,2.0114,0.1432,0.87154,0.124308,2.5297,1.0,0.0171732
15/9-F-14,3145.0,F-TIDAL BAR,Hugin Fm,16.8685,0.0,2.0315,0.146,0.841264,0.122991,2.5372,1.0,0.0233211
15/9-F-14,3147.5,F-TIDAL BAR,Hugin Fm,17.6055,0.0,2.0757,0.1417,0.78933,0.120931,2.5323,1.0,0.029313
15/9-F-14,3150.0,F-TIDAL BAR,Hugin Fm,16.8004,0.0,2.1671,0.1421,0.842161,0.123051,2.5288,1.0,0.0227675
15/9-F-14,3152.5,F-TIDAL BAR,Hugin Fm,15.9226,0.0,2.1993,0.1373,0.785307,0.121547,2.5287,1.0,0.0156309
15/9-F-14,3155.0,F-MOUTHBAR,Hugin Fm,14.9015,0.0,2.2072,0.1315,0.702282,0.11901,2.5312,1.0,0.00732927
15/9-F-14,3157.5,F-MOUTHBAR,Hugin Fm,14.4552,0.0,2.2301,0.134,0.782786,0.122113,2.5266,1.0,0.00370081
15/9-F-14,3160.0,F-MOUTHBAR,Hugin Fm,13.7535,0.0,2.2149,0.1338,0.832322,0.123993,2.5209,1.0,0.0
15/9-F-14,3162.5,F-MOUTHBAR,Hugin Fm,13.6535,0.0,2.1944,0.1332,0.873626,0.125335,2.5141,1.0,0.0
15/9-F-14,3165.0,F-MOUTHBAR,Hugin Fm,13.7947,0.0,2.1196,0.1324,0.854984,0.124736,2.5147,1.0,0.0
15/9-F-14,3167.5,F-MOUTHBAR,Hugin Fm,14.2678,0.0,2.0741,0.1426,1.16155,0.133396,2.5015,1.0,0.00217724
15/9-F-14,3170.0,F-MOUTHBAR,Hugin Fm,14.0923,0.0,1.9484,0.1381,1.12242,0.132468,2.496,1.0,7.5041E-4
15/9-F-14,3172.5,F-TIDAL BAR,Hugin Fm,14.2238,0.0,1.9616,0.1386,1.18558,0.134026,2.4902,1.0,0.00181951
15/9-F-14,3175.0,F-TIDAL BAR,Hugin Fm,14.6127,0.0,2.0755,0.135,1.01672,0.129344,2.4988,1.0,0.0049813
15/9-F-14,3177.5,F-TIDAL BAR,Hugin Fm,15.0979,0.0,2.0792,0.1418,1.08837,0.131085,2.5047,1.0,0.00892602
15/9-F-14,3180.0,F-TIDAL BAR,Hugin Fm,15.0588,0.0,2.1274,0.14,0.976574,0.127984,2.5133,1.0,0.00860813
15/9-F-14,3182.5,F-TIDAL BAR,Hugin Fm,15.3787,0.0,2.1078,0.1342,0.82737,0.12321,2.5178,1.0,0.0112089
15/9-F-14,3185.0,F-TIDAL BAR,Hugin Fm,16.0334,0.0,2.1309,0.1341,0.785293,0.121497,2.5211,1.0,0.0165317
15/9-F-14,3187.5,F-TIDAL BAR,Hugin Fm,16.2619,0.0,2.1231,0.145,0.977971,0.127461,2.5203,1.0,0.0183894
15/9-F-14,3190.0,F-TIDAL BAR,Hugin Fm,15.9557,0.0,2.0646,0.1458,1.06706,0.130101,2.5131,1.0,0.0159
15/9-F-14,3192.5,F-TIDAL BAR,Hugin Fm,15.8041,0.0,2.0191,0.1551,1.26546,0.135201,2.5138,1.0,0.0146675
15/9-F-14,3195.0,F-TIDAL BAR,Hugin Fm,15.8558,0.0,1.9524,0.1415,0.976115,0.127598,2.5141,1.0,0.0150878
15/9-F-14,3197.5,F-TIDAL BAR,Hugin Fm,14.4843,0.0,2.0037,0.1429,0.985064,0.128498,2.5206,1.0,0.0039374
15/9-F-14,3200.0,F-TIDAL BAR,Hugin Fm,13.72,0.0,2.0341,0.1409,1.02407,0.129839,2.5133,1.0,0.0
15/9-F-14,3202.5,F-TIDAL BAR,Hugin Fm,14.5996,0.0,2.0023,0.1413,1.0734,0.130919,2.5068,1.0,0.0048748
15/9-F-14,3205.0,F-TIDAL BAR,Hugin Fm,14.6702,0.0,2.0083,0.1394,1.09483,0.131462,2.5,1.0,0.00544878
15/9-F-14,3207.5,F-TIDAL BAR,Hugin Fm,15.4317,0.0,2.0805,0.1389,1.0255,0.129206,2.504,1.0,0.0116398
15/9-F-14,3210.0,,Sleipner Fm,15.0748,0.0,2.067,0.1428,1.06059,0.130345,2.51,1.0,0.00873821
15/9-F-14,3212.5,,Sleipner Fm,17.7207,0.0,2.0933,0.1482,1.02263,0.128039,2.5176,1.0,0.0302496
15/9-F-14,3215.0,,Sleipner Fm,18.9403,0.0,2.0746,0.1394,0.782984,0.120112,2.5236,1.0,0.040165
15/9-F-14,3217.5,,Sleipner Fm,21.2282,0.0,2.0752,0.1471,0.756703,0.118172,2.5367,1.0,0.0587659
15/9-F-14,3220.0,,Sleipner Fm,23.2437,0.0,2.0146,0.1476,0.689467,0.114854,2.5408,1.0,0.075152
15/9-F-14,3222.5,,Sleipner Fm,25.5497,0.0,1.9567,0.1447,0.592091,0.110027,2.542,1.0,0.0939
