WELL,DEPTH,HC,prediction,prediction_correct
15/9-F-1,3585.1,,,
15/9-F-1,3585.5,,,
15/9-F-1,3586.3,,,
15/9-F-1,3588.7,,,
15/9-F-1,3589.1,,,
15/9-F-1,3589.3,,,
15/9-F-1,3589.8,,,
15/9-F-1,3589.9,,,
15/9-F-1,3590.0,,,
15/9-F-1,3590.4,,,
15/9-F-1,3590.5,,,
15/9-F-1,3590.8,,,
15/9-F-1,3590.9,,,
15/9-F-1,3591.1,,,
15/9-F-1,3591.2,,,
15/9-F-1,3591.4,,,
15/9-F-1,3593.7,,,
15/9-F-1,3595.4,,,
15/9-F-1,3596.1,,,
15/9-F-1,3596.7,,,
15/9-F-1,3597.3,,,
15/9-F-1,3598.1,,,
15/9-F-1,3598.4,,,
15/9-F-1,3598.7,,,
15/9-F-1,3599.1,,,
15/9-F-1,3599.5,,,
15/9-F-1,3599.6,,,
15/9-F-1,3600.7,,,
15/9-F-1,3600.9,,,
15/9-F-1,3601.2,,,
15/9-F-1,3601.6,,,
15/9-F-1,3602.5,,,
15/9-F-1,3603.1,,,
15/9-F-1,3603.4,,,
15/9-F-1,3603.5,,,
15/9-F-1,3603.7,,,
15/9-F-1,3604.1,,,
15/9-F-1,3604.2,,,
15/9-F-1,3604.4,,,
15/9-F-1,3604.9,,,
15/9-F-1,3605.1,,,
15/9-F-1,3605.2,,,
15/9-F-1,3605.4,,,
15/9-F-1,3605.8,,,
15/9-F-1,3606.2,,,
15/9-F-1,3606.9,,,
15/9-F-1,3607.0,,,
15/9-F-1,3607.2,,,
15/9-F-1,3607.6,,,
15/9-F-1,3608.9,,,
15/9-F-1,3609.0,,,
15/9-F-1,3609.6,,,
15/9-F-1,3609.7,,,
15/9-F-1,3610.9,,,
15/9-F-1,3611.1,,,
15/9-F-1,3611.8,,,
15/9-F-1,3611.9,,,
15/9-F-1,3612.2,,,
15/9-F-1,3612.4,,,
15/9-F-1,3612.6,,,
15/9-F-1,3613.2,,,
15/9-F-1,3613.3,,,
15/9-F-1,3613.5,,,
15/9-F-1,3613.7,,,
15/9-F-1,3614.4,,,
15/9-F-1,3614.6,,,
15/9-F-1,3614.7,,,
15/9-F-1,3614.9,,,
15/9-F-1,3615.2,,,
15/9-F-1,3615.6,,,
15/9-F-1,3615.7,,,
15/9-F-1,3616.8,,,
15/9-F-1,3617.0,,,
15/9-F-1,3617.4,,,
15/9-F-1,3617.5,,,
15/9-F-1,3617.6,,,
15/9-F-1,3618.3,,,
15/9-F-1,3618.5,,,
15/9-F-1,3618.6,,,
15/9-F-1,3619.9,,,
15/9-F-1,3620.1,,,
15/9-F-1,3620.2,,,
15/9-F-1,3620.5,,,
15/9-F-1,3620.9,,,
15/9-F-1,3621.2,,,
15/9-F-1,3622.0,,,
15/9-F-1,3622.3,,,
15/9-F-5,3247.1868,0.0,0.0,True
15/9-F-5,3248.7108,0.0,0.0,True
15/9-F-5,3249.1679999999997,0.0,0.0,True
15/9-F-5,3250.2348,0.0,0.0,True
15/9-F-5,3250.692,0.0,0.0,True
15/9-F-5,3251.7588,0.0,0.0,True
15/9-F-5,3252.3684,0.0,0.0,True
15/9-F-5,3252.6732,0.0,0.0,True
15/9-F-5,3252.8256,0.0,0.0,True
15/9-F-5,3252.978,0.0,0.0,True
15/9-F-5,3254.502,0.0,0.0,True
15/9-F-5,3255.264,0.0,0.0,True
15/9-F-5,3255.4164,0.0,0.0,True
15/9-F-5,3255.7212,0.0,0.0,True
15/9-F-5,3256.1784,0.0,0.0,True
15/9-F-5,3256.4832,0.0,0.0,True
15/9-F-5,3257.2452,0.0,0.0,True
15/9-F-5,3258.7692,0.0,0.0,True
15/9-F-5,3259.2264,0.0,0.0,True
15/9-F-5,3259.5312,0.0,0.0,True
15/9-F-5,3259.9884,0.0,0.0,True
15/9-F-5,3260.598,0.0,0.0,True
15/9-F-5,3260.7504,0.0,0.0,True
15/9-F-5,3261.5124,0.0,0.0,True
15/9-F-5,3261.9696,0.0,0.0,True
15/9-F-5,3262.4268,0.0,0.0,True
15/9-F-5,3262.884,0.0,0.0,True
15/9-F-5,3263.0364,0.0,0.0,True
15/9-F-5,3263.7984,0.0,0.0,True
15/9-F-5,3265.9320000000002,0.0,0.0,True
15/9-F-5,3266.0844,0.0,0.0,True
15/9-F-5,3266.3892,0.0,0.0,True
15/9-F-5,3266.5416,0.0,0.0,True
15/9-F-5,3267.6084,0.0,0.0,True
15/9-F-5,3267.9132,0.0,0.0,True
15/9-F-5,3268.3704,0.0,0.0,True
15/9-F-5,3269.5896,0.0,0.0,True
15/9-F-5,3270.0468,0.0,0.0,True
15/9-F-5,3271.1136,0.0,0.0,True
15/9-F-5,3271.4184,0.0,0.0,True
15/9-F-5,3272.79,0.0,0.0,True
15/9-F-5,3273.2472,0.0,0.0,True
15/9-F-5,3274.0092,0.0,0.0,True
15/9-F-5,3274.3140000000003,0.0,0.0,True
15/9-F-5,3275.5332,0.0,0.0,True
15/9-F-5,3275.8379999999997,0.0,0.0,True
15/9-F-5,3275.9904,0.0,0.0,True
15/9-F-5,3276.1428,0.0,0.0,True
15/9-F-5,3276.6,0.0,0.0,True
15/9-F-5,3277.6668,0.0,0.0,True
15/9-F-5,3278.4288,0.0,0.0,True
15/9-F-5,3278.5812,0.0,0.0,True
15/9-F-5,3278.886,0.0,0.0,True
15/9-F-5,3279.4956,0.0,0.0,True
15/9-F-5,3280.2576,0.0,0.0,True
15/9-F-5,3282.3912,0.0,0.0,True
15/9-F-5,3282.5436,0.0,0.0,True
15/9-F-5,3282.8484,0.0,0.0,True
15/9-F-5,3283.1532,0.0,0.0,True
15/9-F-5,3283.6104,0.0,0.0,True
15/9-F-5,3283.7628,0.0,0.0,True
15/9-F-5,3283.9152,0.0,0.0,True
15/9-F-5,3285.2868,0.0,0.0,True
15/9-F-5,3288.03,0.0,0.0,True
15/9-F-5,3288.6396,0.0,0.0,True
15/9-F-5,3291.5352,0.0,0.0,True
15/9-F-5,3291.9924,0.0,0.0,True
15/9-F-5,3292.9068,0.0,0.0,True
15/9-F-5,3293.6688,0.0,0.0,True
15/9-F-5,3294.1259999999997,0.0,0.0,True
15/9-F-5,3294.2784,0.0,0.0,True
15/9-F-5,3294.888,0.0,0.0,True
15/9-F-5,3295.8024,0.0,0.0,True
15/9-F-5,3295.9548,0.0,0.0,True
15/9-F-5,3296.1072,0.0,0.0,True
15/9-F-5,3297.9359999999997,0.0,0.0,True
15/9-F-5,3299.6124,0.0,0.0,True
15/9-F-5,3300.5268,0.0,0.0,True
15/9-F-5,3301.2888,0.0,0.0,True
15/9-F-5,3301.4412,0.0,0.0,True
15/9-F-5,3303.1176,0.0,0.0,True
15/9-F-5,3303.27,0.0,0.0,True
15/9-F-5,3304.4892,0.0,0.0,True
15/9-F-5,3304.7940000000003,0.0,0.0,True
15/9-F-5,3305.0988,0.0,0.0,True
15/9-F-5,3306.0132,0.0,0.0,True
15/9-F-5,3307.2324,0.0,0.0,True
15/9-F-5,3307.9944,0.0,0.0,True
15/9-F-5,3308.7564,0.0,0.0,True
15/9-F-5,3309.5184,0.0,0.0,True
15/9-F-5,3310.4328,0.0,0.0,True
15/9-F-5,3312.2616,0.0,0.0,True
15/9-F-5,3313.4808,0.0,0.0,True
15/9-F-5,3313.7856,0.0,0.0,True
15/9-F-5,3313.938,0.0,0.0,True
15/9-F-5,3314.3952,0.0,0.0,True
15/9-F-5,3314.5476,0.0,0.0,True
15/9-F-5,3315.0048,0.0,0.0,True
15/9-F-5,3315.1572,0.0,0.0,True
15/9-F-5,3315.9192,0.0,0.0,True
15/9-F-5,3316.3764,0.0,0.0,True
15/9-F-5,3317.2908,0.0,0.0,True
15/9-F-5,3318.2052,0.0,0.0,True
15/9-F-5,3319.4244,0.0,0.0,True
15/9-F-5,3319.7292,0.0,0.0,True
15/9-F-5,3320.4912,0.0,0.0,True
15/9-F-5,3321.1008,0.0,0.0,True
15/9-F-5,3321.7104,0.0,0.0,True
15/9-F-5,3322.0152,0.0,0.0,True
15/9-F-5,3323.3868,0.0,0.0,True
15/9-F-5,3323.5392,0.0,0.0,True
15/9-F-5,3323.9964,0.0,0.0,True
15/9-F-5,3324.3012,0.0,0.0,True
15/9-F-5,3325.5204,0.0,0.0,True
15/9-F-5,3325.6728,0.0,0.0,True
15/9-F-5,3326.2824,0.0,0.0,True
15/9-F-5,3326.8920000000003,0.0,0.0,True
15/9-F-5,3328.2636,0.0,0.0,True
15/9-F-5,3328.7208,0.0,0.0,True
15/9-F-5,3328.8732,0.0,0.0,True
15/9-F-5,3329.178,0.0,0.0,True
15/9-F-5,3329.7876,0.0,0.0,True
15/9-F-5,3331.7688,0.0,0.0,True
15/9-F-5,3332.0736,0.0,0.0,True
15/9-F-5,3332.5308,0.0,0.0,True
15/9-F-5,3332.988,0.0,0.0,True
15/9-F-5,3333.4452,0.0,0.0,True
15/9-F-5,3333.9024,0.0,0.0,True
15/9-F-5,3334.2072,0.0,0.0,True
15/9-F-5,3336.9504,0.0,0.0,True
15/9-F-5,3337.56,0.0,0.0,True
15/9-F-5,3338.322,0.0,0.0,True
15/9-F-5,3338.4744,0.0,0.0,True
15/9-F-5,3339.8459999999995,0.0,0.0,True
15/9-F-5,3340.1508,0.0,0.0,True
15/9-F-5,3341.0652,0.0,0.0,True
15/9-F-5,3341.2176,0.0,0.0,True
15/9-F-5,3341.5224,0.0,0.0,True
15/9-F-5,3342.2844,0.0,0.0,True
15/9-F-5,3342.7416,0.0,0.0,True
15/9-F-5,3343.0464,0.0,0.0,True
15/9-F-5,3343.8084,0.0,0.0,True
15/9-F-5,3343.9608,0.0,0.0,True
15/9-F-5,3344.5704,0.0,0.0,True
15/9-F-5,3345.942,0.0,0.0,True
15/9-F-5,3346.5516,0.0,0.0,True
15/9-F-5,3347.7708,0.0,0.0,True
15/9-F-5,3348.228,0.0,0.0,True
15/9-F-5,3348.5328,0.0,0.0,True
15/9-F-5,3350.6664,0.0,0.0,True
15/9-F-5,3351.4284,0.0,0.0,True
15/9-F-5,3352.038,0.0,0.0,True
15/9-F-5,3352.3428,0.0,0.0,True
15/9-F-5,3352.6476,0.0,0.0,True
15/9-F-5,3353.4096,0.0,0.0,True
15/9-F-5,3353.8668,0.0,0.0,True
15/9-F-5,3354.0192,0.0,0.0,True
15/9-F-5,3355.086,0.0,0.0,True
15/9-F-5,3355.5432,0.0,0.0,True
15/9-F-5,3356.1528,0.0,0.0,True
15/9-F-5,3356.3052,0.0,0.0,True
15/9-F-5,3358.5912,0.0,0.0,True
15/9-F-5,3358.8959999999997,0.0,0.0,True
15/9-F-5,3359.5056,0.0,0.0,True
15/9-F-5,3360.7248,0.0,0.0,True
15/9-F-5,3362.0964,0.0,0.0,True
15/9-F-5,3363.3156,0.0,0.0,True
15/9-F-5,3363.468,0.0,0.0,True
15/9-F-5,3364.5348,0.0,0.0,True
15/9-F-5,3365.6016,0.0,0.0,True
15/9-F-5,3366.2112,0.0,0.0,True
15/9-F-5,3366.3636,0.0,0.0,True
15/9-F-5,3367.8876,0.0,0.0,True
15/9-F-5,3368.1924,0.0,0.0,True
15/9-F-5,3369.2592,0.0,0.0,True
15/9-F-5,3369.4116,0.0,0.0,True
15/9-F-5,3369.8688,0.0,0.0,True
