DEPTH,GR,NPHI,RHOB,ILD,WELL,SW,PHIE,VSH,PERM
FEET,GAPI,V/V,G/C3,OHMM,,V/V,V/V,V/V,MD
16016,9.6758,0.096512,2.5598,4.4096,15/9-F-10,0.910491,0.0931719,0,0.277479
16016.5,8.1082,0.091527,2.5799,4.5393,15/9-F-10,0.972142,0.0856859,0,0.166968
16017,8.8478,0.10071,2.5699,4.5912,15/9-F-10,0.888251,0.0933793,0,0.29448
16017.5,11.499,0.101543,2.5597,4.6985,15/9-F-10,0.879136,0.0936486,0.00992715,0.310677
16018,14.1279,0.099352,2.5502,4.6413,15/9-F-10,0.905873,0.0899294,0.0273371,0.252637
16018.5,15.053,0.089182,2.55,4.7491,15/9-F-10,0.95016,0.084029,0.0334636,0.171357
16019,13.8824,0.092565,2.56,4.6205,15/9-F-10,0.96796,0.0839724,0.0257113,0.162003
16019.5,11.6739,0.088164,2.56,4.6829,15/9-F-10,0.950504,0.0853825,0.0110854,0.175766
16020,10.569,0.08664,2.56,4.8067,15/9-F-10,0.940337,0.0863969,0.00376821,0.186618
16020.5,10.1641,0.087985,2.5699,4.8595,15/9-F-10,0.950764,0.085442,0.00108675,0.172711
16021,11.2416,0.085407,2.58,4.9106,15/9-F-10,1.00873,0.079794,0.00822252,0.116423
16021.5,9.6852,0.086752,2.5798,5.0308,15/9-F-10,0.982849,0.0828139,0,0.140117
16022,10.4091,0.084466,2.5703,5.0689,15/9-F-10,0.968602,0.0827326,0.00270927,0.144415
16022.5,10.6471,0.090419,2.57,5.0996,15/9-F-10,0.926267,0.0860836,0.00428543,0.189409
16023,11.73,0.0903,2.57,5.05,15/9-F-10,0.941132,0.0841371,0.011457,0.167939
16023.5,10.9079,0.085435,2.58,5.1802,15/9-F-10,0.984547,0.0803901,0.00601258,0.123645
16024,10.2507,0.092769,2.58,5.1897,15/9-F-10,0.928272,0.0859799,0.00166026,0.186586
16024.5,10.289,0.090934,2.58,5.1998,15/9-F-10,0.947135,0.0848138,0.0019139,0.168632
16025,11.03,0.0925,2.57,5.3,15/9-F-10,0.913354,0.0866956,0.00682119,0.202141
16025.5,11.4818,0.081432,2.5598,5.2592,15/9-F-10,0.951275,0.0828214,0.00981325,0.152614
16026,12.1986,0.083586,2.55,5.2058,15/9-F-10,0.913038,0.0859257,0.0145603,0.197385
16026.5,11.8366,0.089491,2.55,5.0725,15/9-F-10,0.887279,0.0890468,0.0121629,0.244226
16027,11.81,0.0817,2.54,4.94,15/9-F-10,0.900253,0.0890058,0.0119868,0.236661
16027.5,10.6231,0.091725,2.53,4.9292,15/9-F-10,0.825091,0.0985456,0.00412649,0.438486
16028,10.0875,0.086291,2.5306,4.8681,15/9-F-10,0.85166,0.096791,0.000579468,0.376901
16028.5,9.3064,0.089434,2.5496,4.8014,15/9-F-10,0.898942,0.0919345,0,0.268034
16029,9.6879,0.089997,2.5599,4.9094,15/9-F-10,0.916586,0.0891626,0,0.224634
16029.5,10.1981,0.093465,2.56,4.8698,15/9-F-10,0.902707,0.0909345,0.00131192,0.253703
16030,11.8623,0.09929,2.5597,4.8517,15/9-F-10,0.871542,0.0916763,0.0123331,0.288642
16030.5,11.186,0.091289,2.5502,4.9184,15/9-F-10,0.893394,0.0907382,0.0078543,0.259907
16031,11.0311,0.09239,2.5401,4.9498,15/9-F-10,0.85459,0.0948292,0.00682848,0.345681
16031.5,10.9481,0.09715,2.5501,4.9299,15/9-F-10,0.857232,0.0941075,0.00627881,0.331576
16032,11.9565,0.09092,2.5604,4.9207,15/9-F-10,0.923945,0.0862197,0.012957,0.195104
16032.5,12.2327,0.091778,2.5795,4.9492,15/9-F-10,0.965446,0.0821047,0.0147861,0.143926
16033,11.31,0.092097,2.5701,5.0588,15/9-F-10,0.919066,0.0859454,0.0086755,0.192698
16033.5,10.4634,0.092082,2.5599,5.1506,15/9-F-10,0.885321,0.0896481,0.00306887,0.248258
16034,9.2368,0.088832,2.55,5.261,15/9-F-10,0.877858,0.0915418,0,0.275702
16034.5,9.0844,0.090356,2.55,5.3086,15/9-F-10,0.845967,0.092196,0,0.306547
16035,9.9877,0.090499,2.55,5.3889,15/9-F-10,0.843153,0.0922573,0,0.309521
16035.5,11.32,0.0877,2.56,5.4,15/9-F-10,0.892384,0.0857178,0.00874172,0.201995
16036,11.9379,0.087042,2.58,5.3621,15/9-F-10,0.956853,0.0796009,0.0128338,0.126958
16036.5,11.2807,0.089328,2.58,5.4764,15/9-F-10,0.932794,0.0821401,0.00848146,0.152519
16037,11.4076,0.086448,2.58,5.5981,15/9-F-10,0.947885,0.0801517,0.00932186,0.132505
16037.5,11.52,0.0805,2.57,5.78,15/9-F-10,0.951451,0.0789747,0.0100662,0.123229
16038,11.7322,0.080966,2.5702,5.9814,15/9-F-10,0.933074,0.0787891,0.0114715,0.127142
16038.5,11.8658,0.08485,2.5797,6.073,15/9-F-10,0.927079,0.0784254,0.0123563,0.126364
16039,11.7324,0.080087,2.5702,6.1683,15/9-F-10,0.929833,0.0784062,0.0114728,0.125253
16039.5,12.24,0.0766,2.58,6.24,15/9-F-10,0.983999,0.072874,0.0148344,0.0810155
16040,11.6004,0.078772,2.5701,6.3496,15/9-F-10,0.927107,0.0780659,0.0105987,0.123331
16040.5,10.8617,0.07678,2.5794,6.3214,15/9-F-10,0.959278,0.0752438,0.00570662,0.0966498
16041,9.8806,0.079542,2.5604,6.369,15/9-F-10,0.864025,0.0840506,0,0.193812
16041.5,8.3779,0.079799,2.56,6.3302,15/9-F-10,0.866307,0.0842955,0,0.195334
16042,8.3907,0.079013,2.5501,6.3603,15/9-F-10,0.835062,0.0872365,0,0.245304
16042.5,8.516,0.080355,2.56,6.3888,15/9-F-10,0.85898,0.084538,0,0.201265
16043,10.6496,0.086261,2.56,6.3411,15/9-F-10,0.839675,0.0861119,0.00430199,0.230838
