DEPTH,GR,NPHI,RHOB,ILD,WELL,PERM,SW,PHIE,VSH,HC,FORMATION,Facies
METERS,GAPI,V/V,G/C3,OHMM,,MD,V/V,V/V,V/V,,,
222.1992,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
222.3516,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
222.504,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
222.6564,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
222.8088,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
222.9612,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
223.1136,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
223.266,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
223.4184,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
223.5708,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
223.7232,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
223.8756,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
224.028,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
224.1804,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
224.3328,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
224.4852,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
224.6376,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
224.79,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
224.9424,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
225.0948,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
225.2472,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
225.3996,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
225.552,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
225.7044,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
225.8568,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
226.0092,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
226.1616,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
226.314,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
226.4664,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
226.6188,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
226.7712,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
226.9236,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
227.076,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
227.2284,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
227.3808,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
